Date de la mesure,Province,Nature de la mesure,Description de la mesure,Pour en savoir plus
09-Jun-20,NUNAVIK,Sanitaire (réouverture),Recommandations pour les piscines publiques Prévention de la COVID-19 Réouverture du Nunavik ,"<a href=\""http://nrbhss.ca/sites/default/files/covid19/Public_health_considerations_Pools_COVID-19_FR_06-2020.pdf \"">Régie régionale de la santé et des services sociaux du Nunavik</a>"
15-Jun-20,NUNAVIK,Educative (réouverture),COVID-19 : Décisions et recommandations de sécurité pour les parents - Garderies ,"<a href=\""http://nrbhss.ca/sites/default/files/covid19/1-pager_Daycare_Guidelines_parents_FR-2.pdf \"">Régie régionale de la santé et des services sociaux du Nunavik</a>"
16-Jun-20,NUNAVIK,Déconfinement ,Assouplissement des restrictions liées à la COVID-19 dans le cadre de la reprise graduelle des activités afin d’aider les communautés à retourner à une vie normale. ,"<a href=\""https://docs.google.com/gview?embedded=true&url=https://krg.ca/en-CA/assets/press-releases/2020/May/restrections-lifted-in-nunavik-fr.pdf \"">NRBHS</a>"
16-Jun-20,NUNAVIK,Éducative (réouverture),Recommandations de la Santé publique pour les services de camp de jour et de camp culturel pour les jeunes du Nunavik  ,"<a href=\""http://nrbhss.ca/sites/default/files/covid19/Recommendations_for_day_camp_and_youth_cultural_camp_services_FR-1.pdf \"">Régie régionale de la santé et des services sociaux du Nunavik</a>"
19-Jun-20,NUNAVIK,Économique (chasse),"Décisions et recommandations pour les activités de chasse, de pêche et de cueillette ","<a href=\""http://nrbhss.ca/covid-19-reopening-guidelines \"">Régie régionale de la santé et des services sociaux du Nunavik</a>"
19-Jun-20,NUNAVIK,Tourisme (vols),Décisions et recommandations de sécurité pour les vols à l’intérieur de la région,"<a href=\""http://nrbhss.ca/sites/default/files/covid19/Lines_North_flights_FR.pdf \"">Régie régionale de la santé et des services sociaux du Nunavik</a>"
23-Jun-20,NUNAVIK,Déconfinement ,levée au Nunavik d’une nouvelle  série de restrictions liées à la covid-19,"<a href=\""https://docs.google.com/gview?embedded=true&url=https://krg.ca/en-CA/assets/press-releases/2020/June/June23-Pressrelease-fr.pdf \"">Régie régionale de la santé et des services sociaux du Nunavik</a>"
26-Jun-20,NUNAVIK,Sanitaire (réouverture des activités) ,Recommandations destinées à la population concernant la reprise progressive des activités de Bingo au Nunavik ,"<a href=\""http://nrbhss.ca/sites/default/files/covid19/Recommendations_on_Bingo_FR.pdf \"">Régie régionale de la santé et des services sociaux du Nunavik</a>"
29-Jun-20,NUNAVIK,Déconfinement ,"Mesures fixées sur le plan économique, éducatif et sanitaire pour prévenir et contrôler les cas de Covid-19.","<a href=\""http://nrbhss.ca/sites/default/files/covid19/Nunavik-Moving_forward_safely_20-06-29_en_V3.pdf \"">Régie régionale de la santé et des services sociaux du Nunavik</a>"
30-Jun-20,NUNAVIK,Sanitaire (réouverture des activités),"Directives de santé publique - Reprise des activités physiques et sportives, individuelles et en équipe, à l’intérieur et à l’extérieur","<a href=\""https://www.quebec.ca/tourisme-et-loisirs/activites-sportives-et-de-plein-air/reprise-activites-sportives/directives-reprise-activites-sportives/ \"">QUEBEC.CA</a>"
30-Jun-20,NUNAVIK,Réouverture (activités sportives),"Directives de santé publique - Reprise des activités physiques et sportives, individuelles et en équipe, à l’intérieur et à l’extérieur","<a href=\""https://www.quebec.ca/tourisme-et-loisirs/activites-sportives-et-de-plein-air/reprise-activites-sportives/directives-reprise-activites-sportives/\"">Régie régionale de la santé et des services sociaux du Nunavik</a>"
08-Jul-20,NUNAVIK,Sanitaire (réouverture),Recommandations pour la réouverture des maisons des jeunes au Nunavik  ,"<a href=\""http://nrbhss.ca/sites/default/files/covid19/Recommendations_for_Reopening_of_Youth_Centres_in_Nunavik_FR.pdf\"">Régie régionale de la santé et des services sociaux du Nunavik</a>"
08-Jul-20,NUNAVIK,Sanitaire (réouverture des activités),"Recommandations pour la réouverture des Centres communautaires (arénas, centres de loisirs et gymnases) au Nunavik ","<a href=\""http://nrbhss.ca/sites/default/files/covid19/Recommendations_for_Community_Centres_FR.pdf \"">Régie régionale de la santé et des services sociaux du Nunavik</a>"
13-Jul-20,NUNAVIK,Sanaitaire (réouverture),Recommandations de santé publique pour les salles d’entraînement ,"<a href=\""http://nrbhss.ca/covid-19-reopening-guidelines \"">Régie régionale de la santé et des services sociaux du Nunavik</a>"
14-Jul-20,NUNAVIK,Sanitaire (réouverture),Mesures de prévention pour la santé des travailleuses et des travailleurs des secteurs de la restauration et des bars. ,"<a href=\""http://nrbhss.ca/sites/default/files/covid19/Affiche-restaurants-bars_FR.pdf \"">Régie régionale de la santé et des services sociaux du Nunavik</a>"
17-Jul-20,NUNAVIK,Sanitaire (réouverture des activités),Recommandations de réouverture progressive à la population pour les centres de couture au Nunavik 2020 ," <a href=\""http://nrbhss.ca/sites/default/files/covid19/Recommendations_on_sewing_centers_FR.pdf\"">Régie régionale de la santé et des services sociaux du Nunavik</a>"
